[478.7] #395: length 500, score 119, avg 161.0, epsilon 0.137
[480.7] #396: length 500, score 140, avg 159.3, epsilon 0.137
[482.7] #397: length 500, score 139, avg 160.4, epsilon 0.136
[483.9] #398: length 303, score 286, avg 162.2, epsilon 0.135
[486.0] #399: length 500, score 87, avg 161.5, epsilon 0.135
[486.7] #400: length 189, score -1, avg 159.8, epsilon 0.134
[488.7] #401: length 500, score 180, avg 159.3, epsilon 0.133
[490.4] #402: length 436, score 283, avg 159.6, epsilon 0.133
[492.5] #403: length 500, score 151, avg 159.6, epsilon 0.132
[493.9] #404: length 348, score 252, avg 161.8, epsilon 0.131
[494.2] #405: length 98, score -103, avg 159.1, epsilon 0.131
[496.4] #406: length 500, score 142, avg 159.3, epsilon 0.130
[498.4] #407: length 492, score 195, avg 160.8, epsilon 0.129
[500.5] #408: length 500, score 123, avg 160.3, epsilon 0.129
[501.6] #409: length 294, score -108, avg 157.7, epsilon 0.128
[502.7] #410: length 259, score 259, avg 159.0, epsilon 0.127
[503.9] #411: length 321, score 272, avg 160.0, epsilon 0.127
[506.0] #412: length 500, score 109, avg 159.8, epsilon 0.126
[508.0] #413: length 500, score 144, avg 160.0, epsilon 0.126
[510.0] #414: length 500, score 87, avg 159.2, epsilon 0.125
[511.6] #415: length 389, score 228, avg 159.9, epsilon 0.124
[513.8] #416: length 500, score 134, avg 159.6, epsilon 0.124
[515.8] #417: length 500, score 48, avg 158.6, epsilon 0.123
[516.9] #418: length 273, score 209, avg 158.0, epsilon 0.122
[518.1] #419: length 298, score 244, avg 162.0, epsilon 0.122
[519.0] #420: length 236, score 222, avg 162.1, epsilon 0.121
[521.0] #421: length 500, score 126, avg 162.2, epsilon 0.121
[522.2] #422: length 290, score 221, avg 162.4, epsilon 0.120
[523.3] #423: length 294, score -122, avg 159.9, epsilon 0.119
[524.4] #424: length 270, score -42, avg 157.2, epsilon 0.119
[525.8] #425: length 355, score 254, avg 158.0, epsilon 0.118
[527.8] #426: length 500, score 128, avg 156.4, epsilon 0.118
[529.8] #427: length 500, score 133, avg 156.4, epsilon 0.117
[531.7] #428: length 479, score 265, avg 157.6, epsilon 0.116
[532.8] #429: length 298, score 233, avg 158.5, epsilon 0.116
[533.8] #430: length 252, score 244, avg 159.0, epsilon 0.115
[534.6] #431: length 195, score 71, avg 159.4, epsilon 0.115
[535.8] #432: length 319, score 231, avg 160.1, epsilon 0.114
[537.0] #433: length 295, score 255, avg 159.8, epsilon 0.114
[538.3] #434: length 351, score 272, avg 162.4, epsilon 0.113
[539.3] #435: length 264, score 295, avg 163.8, epsilon 0.112
[541.4] #436: length 500, score 128, avg 163.8, epsilon 0.112
